736,736-IRAN-Tepe_Sang_e_Chakhmaq_E-D
738,738-IRAN-Tepe_Sang_e_Chakhmaq_E-D
740,740-IRAN-Tepe_Sang_e_Chakhmaq_E-D
766,766-ROMANIA-Isaccea-D
767,767-ROMANIA-Isaccea-C
1075,1075-TURKEMENISTAN-Ulug_Depe-B
1076,1076-TURKEMENISTAN-Ulug_Depe-A
1571,1571-ROMANIA-Isaccea-D
1572,1572-ROMANIA-Isaccea-D
1574,1574-ROMANIA-Isaccea-D
1575,1575-ROMANIA-Isaccea-D
1627,1627-IRAN-Qoli_Darvish-A
1634,1634-IRAN-Tepe_Hasanlu-A
1636,1636-IRAN-Tepe_Hasanlu-A
1637,1637-IRAN-Tepe_Hasanlu-BEH-L
1695,1695-ROMANIA-Varasti-D
1696,1696-ROMANIA-Varasti-D
1697,1697-ROMANIA-Varasti-D
1707,1707-SPAIN-Can_Roqueta-C
1709,1709-SPAIN-Can_Roqueta-C
1712,1712-SPAIN-Can_Roqueta-A
1714,1714-SPAIN-Can_Roqueta-D
1850,1850-AZERBAIJAN-Mentesh_Tepe-B
1855,1855-ROMANIA-Varasti-A
1858,1858-ROMANIA-Techirghiol_Paloda-A
1859,1859-ROMANIA-Techirghiol_Paloda-C
1860,1860-ROMANIA-Techirghiol_Paloda-A
1862,1862-ROMANIA-Techirghiol_Paloda-C
1873,1873-ROMANIA-Cheia-D
1874,1874-ROMANIA-Cheia-ABCEG-P
1882,1882-ROMANIA-Luncavita-_Wolf
1883,1883-ROMANIA-Isaccea-A
1885,1885-ROMANIA-Isaccea-A
1887,1887-ROMANIA-Isaccea-A
1894,1894-ROMANIA-Schela_Cladovei-B
1901,1901-ROMANIA-Schela_Cladovei-Canis_sp.-C
1902,1902-ROMANIA-Schela_Cladovei-Canis_sp.-C
1903,1903-FRANCE-Camprafaud-_Wolf-D
1904,1904-FRANCE-Camprafaud-_Wolf-BCEH-Q
1905,1905-FRANCE-Tai-A
1907,1907-IRAN-Qoli_Darvish-A
1908,1908-IRAN-Tepe_Hasanlu-C
1911,1911-IRAN-Tepe_Sang_e_Chakhmaq_E-D
1912,1912-IRAN-Tepe_Sang_e_Chakhmaq_E-D
1914,1914-IRAN-Tepe_Sang_e_Chakmaq_E-D
1915,1915-IRAN-Tepe_Sang_e_Chakmaq_E-D
1576_MT,1576_MT-ROMANIA-Vitanesti-Wolf-B
1577_MT,1577_MT-ROMANIA-Vitanesti-Wolf-B
1579_MT,1579_MT-ROMANIA-Popina-Bordusani-D
1581_MT,1581_MT-ROMANIA-Popina-Bordusani-D
1582_MT,1582_MT-ROMANIA-Popina-Bordusani-D
1588_MT,1588_MT-ROMANIA-Popina-Bordusani-D
1635_EU789787.1,1635-EU-IRAN-Tep_Hasanlu-A
1659_MT,1659_MT-ROMANIA-Harsova_tell-D
1660_MT,1660_MT-ROMANIA-Harsova_tell-D
1661_MT,1661_MT-ROMANIA-Harsova_tell-D
1664_MT,1664_MT-ROMANIA-Harsova_tell-D
1665_MT,1665_MT-ROMANIA-Harsova_tell-D
1674_MT,1674_MT-ROMANIA-Popina-Bordusani-D
1680_MT,1680_MT-ROMANIA-Icoana-C
1689_MT,1689_MT-ROMANIA-Harsova_tell-D
1690_MT,1690_MT-ROMANIA-Harsova_tell-D
1702_MT,1702_MT-ROMANIA-Harsova_tell-A
1704_MT,1704_MT-ROMANIA-Harsova_tell-D
1716_ZAC_de_Caunelle___Juvignac,1716_MT-FRANCE-Juvignac-A
1718_ZAC_de_Caunelle___Juvignac,1718_MT-FRANCE-Juvignac-C
1719_ZAC_de_Caunelle___Juvignac,1719_MT-FRANCE-Juvignac-A
1721_Le_Pirou___Valros,1721_MT-FRANCE-Valros
1722_Le_Pirou___Valros,1722_MT-FRANCE-Valros-C
1723_Le_Pirou___Valros,1723_MT-FRANCE-Valros-C
1724_Le_Pirou___Valros,1724_MT-FRANCE-Valros-C
1725_Le_Pirou___Valros,1725_MT-FRANCE-Valros-C
1726_Le_Pirou___Valros,1726_MT-FRANCE-Valros-C
1727_Le_Pirou___Valros,1727_MT-FRANCE-Valros-C
1728_Les_Moulins___Saint_Paul-Trois-Ch_teaux,1728_MT-FRANCE-St_Paul-Trois-Chateaux-A
1729_Les_Moulins___Saint_Paul-Trois-Ch_teaux,1729_MT-FRANCE-St_Paul-Trois-Chateaux-A
1730_La_Roberte___Ch_teauneuf-du-Rhone,1730_MT-FRANCE-Chateauneuf-du-Rhone-C
1731_La_Roberte___Ch_teauneuf-du-Rhone,1731_MT-FRANCE-Chateauneuf-du-Rhone-A
1732_La_Roberte___Ch_teauneuf-du-Rhone,1732_MT-FRANCE-Chateauneuf-du-Rhone-A
1791_MT,1791_MT-ROMANIA-Vitanesti-C
1793b_MT,1793b_MT-ROMANIA-Vitanesti-D
1795_MT,1795_MT-ROMANIA-Popina-Bordusani-D
1796_MT,1796_MT-ROMANIA-Popina-Bordusani-D
1798_MT,1798_MT-ROMANIA-Popina-Bordusani-D
1799_MT,1799_MT-ROMANIA-Harsova_tell-A
1800_MT,1800_MT-ROMANIA-Harsova_tell-D
1801_MT,1801_MT-ROMANIA-Harsova_tell-D
1802_MT,1802_MT-ROMANIA-Harsova_tell-D
1803_MT,1803_MT-ROMANIA-Harsova_tell-D
1804_MT,1804_MT-ROMANIA-Harsova_tell-D
1806_MT,1806_MT-ROMANIA-Harsova_tell-D
1807_MT,1807_MT-ROMANIA-Harsova_tell-A
1808_MT,1808_MT-ROMANIA-Harsova_tell-D
1809_MT,1809_MT-ROMANIA-Harsova_tell-D
1810_MT,1810_MT-ROMANIA-Harsova_tell-D
1811_MT,1811_MT-ROMANIA-Icoana-ABCEG-P
1812_MT,1812_MT-ROMANIA-Icoana-C
1815_MT,1815_MT-ROMANIA-Icoana-C
1817_MT,1817_MT-ROMANIA-Bordusani-D
1819_MT,1819_MT-ROMANIA-Bordusani-D
1820_MT,1820_MT-ROMANIA-Bordusani-D
1821_MT,1821_MT-ROMANIA-Bordusani-D
1822_MT,1822_MT-ROMANIA-Bordusani-D
1823_MT,1823_MT-ROMANIA-Bordusani-D
1825_MT,1825_MT-ROMANIA-Vitanesti-D
1827_MT,1827_MT-ROMANIA-Vitanesti-C
1828_MT,1828_MT-ROMANIA-Vitanesti-D
1829_MT,1829_MT-ROMANIA-Vitanesti-D
1831_MT,1831_MT-ROMANIA-Vitanesti-C
1834_MT,1834_MT-ROMANIA-Vitanesti-D
1836_MT,1836_MT-ROMANIA-Vitanesti-C
1837_MT,1837_MT-ROMANIA-Vitanesti-D
1838_MT,1838_MT-ROMANIA-Vitanesti-C
1839_MT,1839_MT-ROMANIA-Vitanesti-C
1841_MT,1841_MT-ROMANIA-Vitanesti-D
1842_MT,1842_MT-ROMANIA-Pestera_Climente-ABCEG-P
1844_MT,1844_MT-ROMANIA-Pestera_Climente-Wolf
1845_MT,1845_MT-ROMANIA-Pestera_Climente-ABCEG-P
1846_MT,1846_MT-ROMANIA-Pestera_Climente-Wolf
1847_MT,1847_MT-ROMANIA-Bordusani-D
1849_MT,1849_MT-ROMANIA-Bordusani-D
5MT316,5MT316-USA-Colorado-Grass_Mesa-A
